,City Name,Country Code,Date,Latitude,Longitude,Humidity,Max Temperature,Cloudiness,Wind Speed
85,zharkent,kz,03/13/18,44.17,80.0,86,27.53,80,1.16
86,mahebourg,mu,03/13/18,-20.41,57.7,88,78.8,75,14.99
87,salalah,om,03/13/18,17.01,54.1,73,73.4,20,4.7
88,vicosa do ceara,br,03/13/18,-3.56,-41.09,97,73.97,92,3.18
89,dryden,ca,03/13/18,49.79,-92.84,37,33.8,40,14.99
90,sehithwa,bw,03/13/18,-20.47,22.7,77,67.85,24,5.97
91,xapuri,br,03/13/18,-10.65,-68.5,83,80.6,90,11.41
92,orlik,ru,03/13/18,52.51,99.83,44,-19.01,8,1.83
93,khatanga,ru,03/13/18,71.98,102.47,0,-41.6,0,3.74
94,saskylakh,ru,03/13/18,71.97,114.09,63,-34.4,32,3.06
95,gorontalo,id,03/13/18,0.54,123.06,88,76.94,76,2.17
96,hithadhoo,mv,03/13/18,-0.6,73.08,100,83.51,64,5.97
97,atbasar,kz,03/13/18,51.81,68.36,82,11.24,76,15.82
98,uyutne,ua,03/13/18,45.2,33.3,90,48.77,76,16.04
99,nouadhibou,mr,03/13/18,20.93,-17.03,68,68.0,76,21.92
100,sobolevo,ru,03/13/18,54.43,31.9,97,31.94,92,17.27
101,belmonte,br,03/13/18,-26.84,-53.58,51,77.93,0,6.53
102,manggar,id,03/13/18,-2.88,108.27,100,77.84,88,4.07
103,new norfolk,au,03/13/18,-42.78,147.06,63,62.6,75,5.82
104,los llanos de aridane,es,03/13/18,28.66,-17.92,72,62.6,0,6.93
105,longyearbyen,sj,03/13/18,78.22,15.64,84,5.0,20,5.82
106,kapaa,us,03/13/18,22.08,-159.32,73,73.4,90,20.8
107,east london,za,03/13/18,-33.02,27.91,96,71.81,76,13.13
108,vaini,to,03/13/18,-21.2,-175.2,83,84.2,40,4.7
109,dunedin,nz,03/13/18,-45.87,170.5,54,64.16,0,4.97
110,saint-leu,re,03/13/18,-21.15,55.28,73,78.8,20,4.7
111,kavaratti,in,03/13/18,10.57,72.64,100,79.73,88,9.55
112,muros,es,03/13/18,42.77,-9.06,76,53.6,90,18.34
113,pundaguitan,ph,03/13/18,6.37,126.17,100,81.89,12,11.01
114,adrar,dz,03/13/18,27.87,-0.29,12,68.0,0,10.29
115,walvis bay,na,03/13/18,-22.95,14.51,77,60.8,0,1.12
116,husavik,is,03/13/18,66.04,-17.34,64,35.6,90,8.05
117,ormara,pk,03/13/18,25.21,64.64,92,71.99,0,8.32
118,manokwari,id,03/13/18,-0.87,134.08,100,78.56,92,5.86
119,chernoyerkovskaya,ru,03/13/18,45.43,37.76,75,42.8,92,13.42
120,tarko-sale,ru,03/13/18,64.92,77.78,83,11.33,76,13.35
121,puerto del rosario,es,03/13/18,28.5,-13.86,77,64.4,0,5.82
122,vestmannaeyjar,is,03/13/18,63.44,-20.27,90,41.39,44,24.87
123,thompson,ca,03/13/18,55.74,-97.86,45,42.8,5,11.41
124,boda,cf,03/13/18,4.32,17.47,88,73.7,44,2.73
125,mossendjo,cg,03/13/18,-2.95,12.72,96,73.16,92,2.17
126,baraboo,us,03/13/18,43.47,-89.74,49,30.2,1,4.7
127,camocim,br,03/13/18,-2.9,-40.84,87,78.65,32,8.43
128,qaanaaq,gl,03/13/18,77.48,-69.36,100,-10.37,56,2.39
129,sitka,us,03/13/18,37.17,-99.65,30,53.63,0,4.97
130,nizwa,om,03/13/18,22.93,57.53,75,56.69,0,3.4
131,katsuura,jp,03/13/18,33.93,134.5,71,53.6,20,5.82
132,bluff,nz,03/13/18,-46.6,168.33,96,59.93,44,29.24
133,foki,ru,03/13/18,56.69,54.35,82,7.91,56,9.44
134,luena,ao,03/13/18,-11.78,19.91,94,62.54,32,2.84
135,tromso,no,03/13/18,69.65,18.96,67,19.4,0,4.7
136,kenai,us,03/13/18,60.55,-151.26,74,35.6,90,8.05
137,pevek,ru,03/13/18,69.7,170.27,92,-21.08,0,3.85
138,san patricio,mx,03/13/18,19.22,-104.7,69,78.8,20,6.93
139,skjervoy,no,03/13/18,70.03,20.97,100,24.47,44,7.43
140,saldanha,za,03/13/18,-33.01,17.94,88,62.6,68,2.24
141,tuktoyaktuk,ca,03/13/18,69.44,-133.03,84,21.2,20,3.36
142,tual,id,03/13/18,-5.67,132.75,100,80.9,48,14.7
143,petatlan,mx,03/13/18,17.52,-101.27,74,84.2,5,6.93
144,ilulissat,gl,03/13/18,69.22,-51.1,78,10.4,90,3.4
145,mayya,ru,03/13/18,61.74,130.28,83,-11.21,0,5.41
146,nakhon phanom,th,03/13/18,17.41,104.78,90,67.49,0,3.06
147,charcas,mx,03/13/18,23.13,-101.11,23,72.62,0,2.28
148,coahuayana,mx,03/13/18,18.62,-100.35,24,85.94,0,2.95
149,batagay-alyta,ru,03/13/18,67.8,130.41,38,-27.02,20,3.18
150,port hardy,ca,03/13/18,50.7,-127.42,76,50.0,90,16.11
151,torbay,ca,03/13/18,47.66,-52.73,92,30.2,90,16.11
152,mecca,sa,03/13/18,21.43,39.83,64,75.2,0,2.62
153,narsaq,gl,03/13/18,60.91,-46.05,62,21.2,20,4.7
154,dicabisagan,ph,03/13/18,17.08,122.42,100,72.26,88,2.17
155,chokurdakh,ru,03/13/18,70.62,147.9,75,-24.68,32,9.33
156,el vigia,ve,03/13/18,8.62,-71.65,54,69.11,20,0.72
157,kununurra,au,03/13/18,-15.77,128.74,58,87.8,0,1.12
158,saint george,bm,03/13/18,32.38,-64.68,59,64.4,75,29.97
159,srandakan,id,03/13/18,-7.94,110.25,96,73.25,76,3.51
160,ostrovnoy,ru,03/13/18,68.05,39.51,77,6.83,32,8.32
161,san cristobal,ec,03/13/18,-1.02,-79.44,100,63.89,36,0.94
162,skibbereen,ie,03/13/18,51.55,-9.27,100,46.4,75,28.86
163,geraldton,au,03/13/18,-28.77,114.6,61,77.0,0,4.7
164,alice springs,au,03/13/18,-23.7,133.88,29,77.0,0,8.05
165,feldbach,at,03/13/18,46.95,15.89,100,42.8,75,3.36
166,teahupoo,pf,03/13/18,-17.83,-149.27,69,82.4,75,3.36
167,vrangel,ru,03/13/18,42.73,133.08,86,35.54,0,8.66
168,mount gambier,au,03/13/18,-37.83,140.78,81,62.81,80,3.4
169,grimshaw,ca,03/13/18,56.19,-117.61,39,44.6,40,3.36
170,arlit,ne,03/13/18,18.74,7.39,19,65.96,0,6.98
171,havre-saint-pierre,ca,03/13/18,50.23,-63.6,74,33.8,90,9.17
172,kaitangata,nz,03/13/18,-46.28,169.85,55,63.8,0,20.07
173,sorong,id,03/13/18,-0.86,131.25,100,79.46,68,5.97
174,castro,cl,03/13/18,-42.48,-73.76,99,54.08,92,11.01
175,palmer,us,03/13/18,61.6,-149.11,80,37.4,90,3.36
176,yerofey pavlovich,ru,03/13/18,53.97,121.97,54,5.84,8,5.08
